(7, 0),(6, 0)
(6, 0),(5, 0)
(5, 0),(4, 0)
(4, 0),(3, 0)
(3, 0),(3, 1)
(3, 1),(2, 1)
(2, 1),(2, 2)
(2, 2),(1, 2)
(1, 2),(1, 3)
(1, 3),(1, 4)
(1, 4),(0, 4)
load
(7, 0),(6, 0)
(6, 0),(5, 0)
(5, 0),(4, 0)
(4, 0),(3, 0)
(3, 0),(3, 1)
(3, 1),(2, 1)
(2, 1),(2, 2)
(2, 2),(1, 2)
(1, 2),(1, 3)
(1, 3),(1, 4)
(1, 4),(1, 5)
(1, 5),(0, 5)
load
(0, 2),(1, 2)
(1, 2),(2, 2)
(2, 2),(3, 2)
(3, 2),(4, 2)
(4, 2),(5, 2)
(5, 2),(6, 2)
(6, 2),(7, 2)
(7, 2),(7, 1)
(7, 1),(7, 0)
unload target
(1, 1),(1, 2)
(1, 2),(1, 3)
(0, 1),(1, 1)
(1, 1),(2, 1)
(2, 1),(3, 1)
(3, 1),(4, 1)
(4, 1),(5, 1)
(5, 1),(6, 1)
(6, 1),(7, 1)
(7, 1),(7, 0)
unload target
